label,nodeid,r,x,y
"hous, side, narrated_ibn_abba, apostl, prayer, maimuna, slept, till, sound, breath, right, afterward, rakat, aunt, night, allah, isha, morn",175,609,17,609
"hous, prophet, narrated_ibn_abba, muadhdhin, prayer, side, maimuna, sound, breath, right, rakat, aunt, night, till, ablut, morn",176,499,15,498
"hous, prophet, narrated_ibn_abba, right, prayer, side, aunt, maimuna, night, head",177,739,16,739
"prophet, prayer, muadh_bin_jab, isha, peopl",178,1404,20,1404
"prophet, al_baqra, someth, peopl, amr, news, name, thrice, sura, muadh, surat, medium, jabir_bin_abdullah, mufass, trial, prayer, somebodi, isha, muadh_bin_jab",179,430,17,430
"narrat, time, apostl, prayer, peopl, advic, masud, man, morn, deed, allah, so, abu",180,1098,20,1097
"apostl, prayer, huraira, sick, peopl, abu, allah, pray, anyon",181,1502,21,1502
"prophet, day, apostl, so_and_so, imam, masud, man, morn, prayer, peopl, allah, other, prolong, abu",182,1361,21,1361
"kneel, latter, nadiha, an_nisa, sabbih, al_ansari, muadh, rabbika_l_a_la, surat, wash_shamsi, jabir_bin_abdullah, are, night, prayer, isma, thrice, purpos, camel, man, wal_laili, albaqara, idha, prophet",183,330,16,330
"ana, prophet, congreg, manner, prayer",184,1195,14,1195
"prophet, child, cri, prayer, troubl, qatada, abdullah_bin_abi, father, mother",185,693,19,692
"prophet, imam, child, prayer, cri, trial, anas_bin_malik, mother",186,771,19,771
"prophet, child, prayer, cri, passion, anas_bin_malik, mother",187,871,18,871
"prophet, child, prayer, cri, passion, anas_bin_malik, mother",188,871,18,871
"prophet, tribe, prayer, jabir_bin_abdullah, muadh, peopl",189,1221,21,1221
"prophet, aisha, peopl, joseph, someon, place, ill, prayer, quran, bakr, man, tell, abu",190,934,24,934
"prophet, aisha, apostl, place, bilal, peopl, abu, umar, prayer, bakr, tell, order, man, allah, hafsa",191,1330,30,1329
"dhu_l_yadain, akbar, apostl, prayer, huraira, prostrat, rakat, allahu, abu, allah, truth, taslim, peopl",192,1050,22,1050
"prophet, prayer, rakat, zuhr, huraira, taslim, abu",193,1286,19,1286
"aisha, apostl, joseph, faith, say, place, ill, peopl, abu, umar, mother, prayer, believ, bakr, tell, order, man, allah, hafsa",194,843,26,843
"prophet, allah, row, an_numan_bin_bashir",195,2182,24,2182
"ana, prophet, back, row",196,1248,15,1248
"back, apostl, anas_bin_malik, iqama, allah, row",197,1338,20,1338
"prophet, plagu, time, peopl, prayer, huraira, reward, race, row, diseas, isha, fajr, re, congreg, zuhr, lot, martyr, ward, build, abu",198,566,15,566
"prophet, imam, no, hadith, hamida, prayer, huraira, bow, thing, row, straighten, correct, rabbana_lak, hamd, pray, liman, abu, prostrat, samia_l_lahu",199,518,12,518
"prophet, prayer, straighten, row, anas_bin_malik",200,1179,14,1179
"align, day, prayer, apostl, anas_bin_malik, medina, allah, chang",201,1277,20,1276
"prophet, ana, back, row, anas_bin_malik, shoulder, foot, companion",202,728,15,728
"prophet, side, narrated_ibn_abba, apostl, prayer, hold, behind, head, slept, right, muadhdhin, stood, night, allah, ablut",203,979,17,978
"prophet, hous, sulaim, um, anas_bin_malik, prayer, orphan, night, row, mother",204,707,20,706
"prophet, hold, narrated_ibn_abba, prayer, shoulder, till, behind, arm, left, hand, al_kashmaihani_fateh, right, night, al_bari",205,543,14,543
"prophet, aisha, room, apostl, prayer, news, wall, morn, night, allah, thereupon, peopl",206,1336,21,1336
"prophet, day, mat, aisha, number, curtain, use, night, peopl",207,919,16,919
"zaid_bin_thabit, month, mat, zaid_bin_, room, apostl, prayer, com, panion, hous, thabit, said, person, morn, compulsori, night, allah, ramadan",208,591,17,591
"prophet, day, apostl, imam, head, al_ansari, hors, rabbana, pray, bodi, hamida, side, prayer, bow, allah, wa_laka_l, samia_l_lahu, anas_bin_malik, liman, prostrat, taslim, hamd",209,698,15,698
"imam, apostl, prayer, sami, bow, prostrat, head, hors, anas_bin_malik, laka_l_hamd, liman, rabbana, allah, hamida, takbir",210,641,16,641
"prophet, imam, takbir, huraira, bow, sami, a_l_lahu, rabbana, pray, liman, abu, prostrat, wa_laka_l_hamd, hamida",211,579,14,578
"shoulder, apostl, hand, level, prayer, sami, walaka_l_hamd, hamida, head, salim_bin_abdullah, prostrat, rabbana, liman, allah, father, takbir",212,627,16,627
"shoulder, hand, apostl, prayer, sami, tration, head, pro, takbir, abdullah_bin_umar, liman, allah, hamida",213,752,15,752
"apostl, hand, takbir, prayer, bow, head, malik_bin_huwairith, allah, qilaba, abu",214,1174,22,1174
"shoulder, hand, level, prayer, sami, laka_lhamd, takbir, time, abdullah_bin_umar, wa, liman, rabbana, allah, hamida, apostl",215,675,16,674
"prophet, sami, hand, takbir, prayer, nafi, liman, raka, _ibn_umar, whenever_ibn_umar, whenev, hamida",216,535,14,535
"hazim, prophet, forearm, hand, peopl, prayer, sahl_bin_sad, order, abu",217,1122,19,1122
"submiss, back, noth, apostl, huraira, bow, qibla, allah, abu",218,1229,19,1229
"prophet, back, anas_bin_malik, bow, allah, prostrat",219,1544,21,1544
"prophet, umar, lil_lahi, prayer, bakr, rabbil_ala_min, prais, world, anas_bin_malik, lord, allah, al_hamdu, abu",220,1036,25,1036
