cluster,global_distance,global_nimber_of_blocks,global_tfidf,local_distance,radious,word
1,4243,1,0.0011092481,0,4243.0,umar_bin_nafi
1,4243,1,0.0011092481,0,4243.0,umair
1,4237,7,0.0064390455,28,4237.09251728116,isra
1,4243,1,0.0011092481,0,4243.0,doomsday
1,4180,64,0.0405548080,12,4180.017224844893,whose
1,4185,59,0.0380316166,35,4185.146353474392,raka
1,4243,1,0.0011092481,0,4243.0,juwaira
1,4243,1,0.0011092481,0,4243.0,thabit_bin_qais_bin_sham
1,4241,3,0.0101455588,33,4241.128387587435,of_ibn_masud
1,4239,5,0.0047958224,0,4239.0,sum
1,4242,2,0.0021077134,50,4242.294662090318,slumber
1,4238,6,0.0056286338,0,4238.0,awe
1,4240,4,0.0078725743,25,4240.073702189621,forget
1,4243,1,0.0011092481,0,4243.0,uyaina_bin_hisn_bin_hudhaifa_bin_badr
1,4243,1,0.0011092481,0,4243.0,al_wasila
1,4242,2,0.0021077134,0,4242.0,visibl
1,4240,4,0.0039362872,25,4240.073702189621,secur
1,4231,13,0.0109643742,53,4231.331941599477,sunris
1,4243,1,0.0011092481,0,4243.0,al_i
1,4243,1,0.0011092481,0,4243.0,quarri
1,4236,8,0.0072301845,25,4236.073771784434,musab_bin_umar
1,4243,1,0.0011092481,0,4243.0,irq
1,4234,10,0.0087635904,30,4234.106281141275,sad_bin_muadh
1,4243,1,0.0011092481,0,4243.0,knower
1,4242,2,0.0021077134,0,4242.0,shah
1,4243,1,0.0011092481,0,4243.0,an_nimr
1,4213,31,0.0226448543,22,4213.057440861684,dhul_hijja
1,4234,10,0.0105163085,10,4234.011809147442,god
1,4180,64,0.0690699074,21,4180.052750863319,afflict
1,4243,1,0.0011092481,0,4243.0,crawl
1,4243,1,0.0011092481,0,4243.0,____for
1,4057,187,0.1304507094,19,4057.0444907592523,other
1,4243,1,0.0011092481,0,4243.0,thamud
1,4243,1,0.0011092481,0,4243.0,adi_bin_al_khiyar
1,4106,138,0.0731168021,26,4106.0823177330485,al_khudri
